device,cpu_usage,network_activity,memory_usage,anomalous_behavior
HomePod,89.32,117.66,4116.52,0
Alexa,10.6,816.29,6296.96,0
HomePod,61.91,568.47,1993.81,1
Alexa,82.68,432.28,7332.58,0
HomePod,82.34,881.46,104.24,1
Alexa,35.33,283.51,2521.86,0
Alexa,23.25,292.96,3910.36,0
HomePod,52.1,106.16,5863.09,1
Alexa,77.29,153.2,652.67,1
HomePod,24.8,205.74,1149.5,1
HomePod,43.7,208.22,5930.84,0
HomePod,60.71,873.77,3724.53,1
HomePod,23.96,76.51,3509.81,1
HomePod,70.87,810.07,3816.73,0
Alexa,46.5,609.13,3959.9,1
HomePod,27.63,772.54,4194.91,0
Alexa,11.21,280.94,1109.01,1
HomePod,20.09,314.23,3952.94,0
Alexa,51.88,167.61,6202.37,0
HomePod,42.6,925.72,6474.55,1
HomePod,24.54,368.46,1896.97,1
Alexa,41.68,268.06,6669.74,1
HomePod,42.64,209.64,6059.34,0
HomePod,58.71,242.29,5263.49,0
Alexa,89.68,726.28,2402.5,1
HomePod,39.02,437.18,2488.48,0
HomePod,45.69,701.57,3281.58,1
HomePod,58.18,645.77,3437.96,0
Alexa,68.44,159.69,1043.06,0
Alexa,41.83,248.27,5909.63,1
HomePod,39.3,702.21,3485.68,1
Alexa,13.74,76.41,4176.28,1
Alexa,13.92,141.71,6327.43,1
HomePod,12.58,203.92,2141.35,1
Alexa,18.61,75.23,1806.47,0
Alexa,39.1,575.91,531.59,1
HomePod,86.69,305.5,5262.17,1
HomePod,68.16,512.26,7957.85,0
Alexa,34.91,767.77,6942.23,0
HomePod,41.15,868.13,2966.77,0
HomePod,70.69,100.61,1067.91,1
Alexa,82.19,51.97,4919.8,1
Alexa,66.1,947.32,1142.38,1
HomePod,84.2,169.52,6186.15,1
HomePod,12.46,143.44,4784.13,0
HomePod,57.25,669.11,5695.57,0
Alexa,41.02,525.04,7374.99,0
Alexa,27.27,711.23,3967.26,1
Alexa,14.65,713.08,1405.64,0
HomePod,40.03,593.78,3440.14,1
HomePod,89.31,133.4,5560.43,1
HomePod,81.55,326.37,3622.68,0
Alexa,68.51,460.6,5662.34,1
HomePod,41.98,856.61,6686.16,0
HomePod,65.57,276.01,2167.51,0
HomePod,67.16,318.36,1087.14,1
HomePod,69.22,878.82,6285.44,1
HomePod,60.42,890.72,3953.14,0
HomePod,28.37,545.31,6078.99,1
Alexa,80.8,392.01,1622.7,1
HomePod,72.85,163.25,2890.79,0
HomePod,63.07,665.95,1160.03,0
Alexa,65.0,776.09,256.91,1
HomePod,37.74,858.22,6591.0,0
Alexa,59.42,454.39,6775.02,0
Alexa,84.29,713.45,2458.72,0
Alexa,25.27,891.97,459.01,0
HomePod,54.53,892.19,4682.78,1
HomePod,50.18,488.93,3707.85,1
Alexa,82.66,654.34,5870.61,0
HomePod,56.25,390.19,2662.44,1
HomePod,68.08,763.27,5710.55,1
Alexa,32.35,716.17,1558.35,1
Alexa,89.25,265.89,5662.08,1
Alexa,78.5,246.07,4603.95,1
HomePod,86.71,57.79,638.7,0
Alexa,83.99,856.94,7529.23,0
Alexa,16.01,931.79,1731.47,1
Alexa,82.96,283.92,4044.76,0
Alexa,13.55,24.53,4879.35,0
Alexa,79.31,118.24,6131.72,1
Alexa,17.89,680.85,233.68,1
HomePod,58.43,29.98,1112.01,0
Alexa,45.41,866.82,2239.94,0
HomePod,42.59,263.98,3259.22,0
HomePod,44.51,521.09,6031.77,1
Alexa,52.75,469.44,6866.17,0
Alexa,27.13,258.42,2087.63,1
Alexa,38.2,322.6,113.39,0
Alexa,37.15,254.98,485.46,1
HomePod,10.92,541.03,932.41,0
HomePod,20.0,367.0,1059.81,0
HomePod,22.7,654.4,101.12,1
Alexa,11.91,688.43,246.64,1
HomePod,73.75,639.13,1434.59,1
Alexa,83.21,106.32,2094.29,0
HomePod,17.75,214.74,5553.77,1
Alexa,38.37,378.14,1577.73,0
Alexa,47.15,306.18,5846.86,0
Alexa,51.28,877.72,3475.66,0
HomePod,21.59,411.27,651.78,0
Alexa,54.95,486.35,7364.53,0
HomePod,25.91,147.81,3928.97,0
HomePod,42.11,232.91,3892.53,0
HomePod,58.92,29.63,5526.99,1
HomePod,54.71,980.1,5401.86,1
HomePod,37.81,486.11,7697.45,0
Alexa,71.38,807.18,3434.0,0
Alexa,59.27,654.46,4915.0,0
Alexa,85.73,424.73,6909.24,1
Alexa,54.91,73.43,7763.39,0
HomePod,45.92,621.95,3883.7,0
HomePod,38.49,373.47,964.98,0
Alexa,89.59,448.07,7359.05,1
Alexa,89.27,660.04,2240.97,1
HomePod,45.01,512.63,2368.1,0
Alexa,57.54,634.35,2105.66,1
HomePod,28.3,417.22,6463.06,0
HomePod,57.1,494.3,3950.21,0
Alexa,67.24,937.21,7882.6,1
Alexa,38.84,196.63,2271.7,1
HomePod,41.18,875.43,2612.66,1
HomePod,54.25,538.88,2235.11,1
Alexa,47.75,868.98,7503.39,1
HomePod,51.05,604.46,2980.67,1
Alexa,68.73,27.61,786.08,1
HomePod,71.93,434.1,3113.98,0
Alexa,55.39,312.52,7322.78,0
HomePod,50.17,620.2,3188.4,1
HomePod,52.69,969.54,6418.04,1
HomePod,77.7,561.34,6662.2,1
Alexa,48.08,753.15,3646.03,0
HomePod,29.44,782.33,502.63,1
HomePod,85.36,98.01,7726.37,1
Alexa,59.36,727.15,306.52,0
Alexa,28.46,197.11,3663.03,0
HomePod,61.73,605.03,6906.54,1
HomePod,60.83,334.5,6682.07,0
Alexa,63.09,145.22,7345.8,0
Alexa,82.68,457.26,5470.14,1
HomePod,35.79,234.35,1559.87,1
HomePod,14.72,127.52,5459.35,1
HomePod,19.28,472.05,2831.69,0
Alexa,52.68,431.28,4475.03,0
HomePod,41.74,695.47,160.03,0
Alexa,42.68,185.31,6244.18,1
Alexa,60.71,692.69,7799.53,1
HomePod,29.99,337.37,6705.4,1
HomePod,61.03,354.46,5713.88,1
HomePod,51.58,458.08,4879.21,1
HomePod,29.29,147.46,3087.94,0
HomePod,16.96,488.03,6630.66,1
Alexa,33.14,420.94,6035.66,0
HomePod,50.57,190.25,4767.41,0
HomePod,64.53,77.45,1920.84,0
Alexa,79.49,891.29,7214.18,1
HomePod,39.52,834.02,5159.69,0
Alexa,73.34,856.99,1511.41,1
HomePod,40.27,366.36,1164.22,1
Alexa,72.98,256.08,6258.69,0
Alexa,31.84,144.73,4681.69,0
HomePod,70.41,504.97,7006.69,0
HomePod,42.7,658.86,4591.81,1
HomePod,17.95,889.9,320.26,1
HomePod,70.59,894.29,5504.73,0
HomePod,76.55,134.28,5602.06,0
HomePod,76.31,706.87,6112.09,1
HomePod,51.7,435.28,2154.03,1
HomePod,32.11,565.48,2466.0,1
Alexa,41.24,357.03,7620.93,0
Alexa,16.31,584.33,3240.48,0
Alexa,65.01,522.91,3200.4,0
HomePod,60.0,347.84,7437.39,0
HomePod,56.71,456.63,3933.1,0
HomePod,18.28,930.07,1126.1,0
Alexa,35.35,736.75,5877.33,0
Alexa,46.41,447.56,5270.72,0
HomePod,72.33,929.41,5113.82,1
Alexa,62.2,159.05,684.28,1
HomePod,31.66,628.09,7573.85,0
Alexa,54.35,6.77,6259.41,0
HomePod,65.61,552.77,3598.3,1
Alexa,15.57,238.09,3914.3,0
HomePod,45.59,736.73,1060.52,1
Alexa,69.12,78.17,6987.87,1
Alexa,69.56,116.1,4934.29,1
HomePod,60.47,526.38,4509.85,1
HomePod,22.26,296.15,6832.56,0
HomePod,86.44,931.47,5678.54,0
Alexa,49.15,269.12,7954.45,0
Alexa,60.91,738.64,1527.85,0
HomePod,60.22,424.57,2630.09,0
HomePod,78.25,581.72,3213.43,0
HomePod,52.23,255.8,3905.27,0
Alexa,52.06,360.13,7972.07,0
HomePod,19.58,203.92,6959.99,0
HomePod,45.44,478.41,6821.12,0
Alexa,33.02,793.42,6658.77,1
HomePod,43.32,848.54,3789.75,0
HomePod,16.65,708.64,3350.47,0
HomePod,79.21,287.59,3479.99,0
Alexa,28.47,842.19,2619.08,1
Alexa,41.16,514.25,6321.61,0
Alexa,81.33,305.13,492.3,1
Alexa,74.4,994.69,2377.03,1
Alexa,27.42,418.9,949.79,1
HomePod,54.97,546.39,7578.42,1
HomePod,34.37,878.58,6331.07,1
Alexa,66.67,723.83,5002.13,0
HomePod,73.96,453.03,3560.59,1
Alexa,58.18,934.64,1687.99,1
Alexa,73.33,463.39,2895.74,1
HomePod,77.03,247.54,5056.35,0
HomePod,34.91,544.24,4767.93,1
Alexa,78.55,244.89,6138.8,1
Alexa,16.28,253.25,6919.55,0
Alexa,34.26,373.76,1390.98,1
HomePod,21.36,523.65,4478.23,0
Alexa,70.68,87.16,2965.57,0
Alexa,86.94,293.07,252.29,1
Alexa,48.54,652.24,4208.24,0
Alexa,28.36,746.94,2619.74,1
HomePod,72.24,730.01,7996.15,1
HomePod,85.96,349.76,5634.15,0
Alexa,23.66,496.07,1878.48,1
Alexa,29.49,184.74,2966.95,0
HomePod,55.17,712.97,5108.1,0
Alexa,73.54,261.65,7446.48,1
HomePod,12.02,292.31,458.54,1
HomePod,10.81,227.64,5402.35,0
Alexa,88.83,477.54,6378.81,1
Alexa,40.38,752.11,2697.51,1
HomePod,68.47,707.65,317.71,1
HomePod,46.22,267.4,2506.31,0
HomePod,68.09,271.37,5409.53,1
Alexa,18.77,514.43,624.66,0
Alexa,16.12,518.13,375.84,0
HomePod,84.6,573.34,177.49,0
Alexa,31.75,837.83,261.02,1
Alexa,69.77,868.0,718.24,0
Alexa,31.99,327.61,887.32,1
HomePod,18.62,313.29,4791.72,1
HomePod,17.75,286.67,7321.52,0
Alexa,22.12,371.51,2237.76,1
HomePod,60.01,710.5,1386.12,1
HomePod,80.27,780.33,5601.78,0
HomePod,61.57,389.84,6607.47,1
HomePod,55.07,428.22,2631.28,1
Alexa,34.34,862.67,3936.43,0
Alexa,19.7,616.64,2419.17,1
HomePod,66.76,826.02,4600.59,1
HomePod,12.24,72.08,899.86,1
HomePod,79.37,161.49,1376.65,0
HomePod,85.54,276.7,7177.35,1
Alexa,25.86,198.26,6791.42,1
HomePod,47.64,426.51,4356.31,1
Alexa,13.67,959.51,3555.02,1
Alexa,83.34,13.48,1909.31,1
HomePod,32.67,411.34,621.98,0
Alexa,53.12,887.01,6466.02,1
HomePod,17.36,674.09,7708.24,1
HomePod,52.19,128.07,6018.81,1
HomePod,46.69,653.25,447.9,0
Alexa,37.97,570.77,2437.53,1
Alexa,48.54,419.42,5480.36,0
Alexa,58.82,875.3,211.75,0
HomePod,68.73,781.24,4133.89,1
HomePod,37.24,341.69,4166.44,1
Alexa,18.7,106.75,7708.45,1
HomePod,24.12,346.09,2502.88,1
Alexa,61.58,505.31,4623.35,1
Alexa,81.16,388.37,4370.49,0
Alexa,38.74,836.5,177.52,1
Alexa,47.54,988.03,5433.74,1
Alexa,54.8,289.09,1259.04,0
Alexa,65.88,133.58,4400.87,1
Alexa,55.79,757.33,5782.64,1
Alexa,74.78,440.5,3465.14,0
HomePod,28.28,617.8,5304.78,0
HomePod,10.92,565.41,4480.06,1
Alexa,71.32,511.77,7158.99,1
Alexa,51.41,326.63,6959.38,1
Alexa,61.63,595.43,2788.12,1
HomePod,64.1,803.01,5366.53,0
HomePod,73.03,508.01,877.54,0
HomePod,69.26,581.89,4281.66,0
HomePod,49.54,905.36,5677.61,0
HomePod,16.87,84.98,6807.96,0
HomePod,73.87,557.51,5483.29,0
HomePod,37.89,992.65,5011.65,0
Alexa,41.13,980.06,5705.36,1
HomePod,31.53,39.95,3192.22,0
HomePod,68.76,581.81,7588.72,1
HomePod,72.53,121.72,5971.68,1
Alexa,32.79,197.58,7208.65,0
HomePod,75.14,600.43,2449.7,0
Alexa,39.39,962.2,3577.27,1
Alexa,72.82,386.94,4288.32,1
Alexa,12.46,787.13,4742.5,0
HomePod,23.96,769.2,2552.09,1
Alexa,12.75,873.24,6255.6,1
Alexa,18.57,53.37,7580.7,0
HomePod,63.46,565.46,7307.84,0
Alexa,44.2,9.3,1170.95,0
HomePod,16.52,179.82,3017.06,0
HomePod,11.42,451.68,3041.84,0
Alexa,37.2,546.15,4194.06,0
Alexa,29.69,124.2,5014.62,1
HomePod,35.23,25.67,3660.68,0
HomePod,13.1,769.41,109.78,1
HomePod,13.31,22.33,6888.14,1
Alexa,27.6,257.1,4028.21,0
HomePod,67.21,226.67,6006.93,0
HomePod,42.88,438.48,3494.61,1
HomePod,70.1,97.1,5489.15,1
HomePod,41.55,976.93,3920.77,1
HomePod,74.61,749.38,1840.36,1
HomePod,50.1,778.05,4675.23,1
Alexa,55.7,463.75,209.84,1
Alexa,78.22,200.64,3203.73,0
Alexa,73.78,366.89,2395.31,1
Alexa,28.21,585.23,5266.85,1
Alexa,32.85,232.93,862.75,0
Alexa,51.19,506.49,5557.91,0
Alexa,62.21,270.56,3346.44,1
Alexa,22.56,503.58,2512.3,1
HomePod,14.67,210.13,4930.25,1
HomePod,68.61,964.99,5150.57,1
HomePod,82.99,740.5,1364.76,1
HomePod,80.34,743.1,6092.55,0
Alexa,69.54,921.35,2197.84,1
Alexa,70.76,872.95,791.57,1
HomePod,57.53,703.79,3579.28,0
HomePod,88.05,898.31,7392.69,1
HomePod,51.65,928.19,3758.22,1
HomePod,45.11,291.88,6782.18,0
Alexa,20.29,315.46,5467.09,0
Alexa,34.12,895.43,306.77,1
Alexa,53.87,298.11,252.11,0
HomePod,38.88,156.5,3482.77,1
HomePod,29.62,57.77,7405.69,0
HomePod,25.52,670.88,1665.64,1
Alexa,57.2,938.04,840.91,1
HomePod,25.75,954.97,1951.6,0
Alexa,12.92,126.67,3590.05,0
Alexa,66.1,669.63,7255.67,1
Alexa,53.37,879.13,5664.56,1
Alexa,19.91,809.12,3285.38,0
HomePod,74.04,653.29,6890.2,1
Alexa,48.73,579.61,1106.46,0
HomePod,63.33,200.48,2005.19,1
Alexa,42.23,719.3,665.83,0
HomePod,41.73,386.8,4948.59,0
Alexa,37.77,166.36,1183.36,1
HomePod,54.37,673.77,7078.47,1
Alexa,46.6,147.18,1039.9,0
Alexa,61.48,962.82,4563.19,1
HomePod,43.46,987.6,7458.75,1
HomePod,50.85,306.69,2654.67,1
Alexa,22.91,345.32,806.09,0
Alexa,84.23,53.15,3043.08,0
Alexa,22.84,759.65,2446.41,1
HomePod,81.49,231.21,382.8,0
HomePod,67.57,702.27,5900.41,0
HomePod,15.13,40.99,3256.1,1
Alexa,23.27,62.34,3141.6,1
Alexa,71.02,687.65,2179.54,0
Alexa,61.52,73.05,6040.95,1
HomePod,54.26,200.24,650.32,0
Alexa,43.61,196.37,3392.7,1
Alexa,27.42,839.26,7256.44,0
HomePod,60.26,409.16,2553.06,1
HomePod,43.35,415.24,6382.53,1
Alexa,17.69,751.42,6734.99,1
Alexa,81.47,189.63,7325.37,1
Alexa,45.39,362.62,2533.11,1
Alexa,60.41,819.42,5471.92,0
Alexa,64.46,795.06,2935.81,1
HomePod,25.16,963.11,1667.29,1
Alexa,54.39,889.67,6554.42,1
HomePod,63.55,566.79,2412.22,0
Alexa,51.24,363.36,201.58,0
Alexa,50.42,177.38,3485.96,1
Alexa,35.33,674.84,7245.86,1
Alexa,82.7,721.66,3424.49,1
HomePod,55.45,566.82,2851.02,0
HomePod,71.56,904.35,1852.61,0
Alexa,61.34,139.95,4375.36,0
HomePod,20.28,203.52,2304.76,0
Alexa,51.2,927.0,5804.73,0
HomePod,67.97,61.05,4909.94,1
HomePod,25.39,59.99,3326.91,1
Alexa,63.14,14.27,4342.29,1
Alexa,59.51,119.3,3225.66,0
HomePod,13.9,284.55,3415.76,0
Alexa,83.18,407.8,2327.61,0
HomePod,88.37,650.01,6410.27,0
HomePod,51.03,742.94,7851.14,0
HomePod,62.85,451.08,570.44,1
Alexa,73.8,391.34,6039.33,1
HomePod,40.03,950.67,5840.67,0
HomePod,62.34,493.03,3773.44,1
HomePod,29.16,249.09,1018.57,1
Alexa,23.4,655.09,7757.22,1
HomePod,86.18,771.39,218.99,1
HomePod,64.94,346.23,7434.28,1
HomePod,86.03,725.0,7350.64,0
HomePod,75.64,309.06,5993.1,1
Alexa,51.21,911.63,2246.59,1
HomePod,50.81,255.87,1906.22,0
Alexa,14.47,818.93,5353.41,0
HomePod,53.99,219.18,3783.53,0
HomePod,19.23,240.81,1309.98,0
Alexa,70.89,401.88,143.74,1
Alexa,37.67,984.16,621.79,1
HomePod,76.33,181.41,3897.37,0
HomePod,18.96,60.53,615.63,0
HomePod,22.05,207.77,5406.68,0
Alexa,26.07,882.25,5004.63,1
Alexa,76.22,706.89,7614.77,1
HomePod,84.14,43.12,617.14,0
Alexa,41.89,556.8,6212.97,1
Alexa,82.82,609.77,3303.35,1
Alexa,33.64,257.45,7244.15,0
HomePod,62.71,49.78,5087.29,1
Alexa,39.62,92.35,7246.67,0
Alexa,16.48,803.36,5348.15,1
HomePod,81.2,583.77,2903.41,0
Alexa,50.39,819.9,3048.7,1
HomePod,49.68,939.73,6055.09,1
HomePod,55.58,228.27,2998.66,0
Alexa,17.74,750.07,7074.13,0
Alexa,65.99,371.91,6644.4,0
Alexa,63.97,769.74,939.63,0
Alexa,27.13,586.96,830.33,0
HomePod,42.91,313.48,4788.28,1
Alexa,46.02,944.42,2675.85,1
Alexa,34.56,953.14,5151.96,0
HomePod,68.31,845.62,5688.85,0
Alexa,21.93,33.8,4012.04,1
HomePod,50.86,953.9,2311.89,1
Alexa,27.96,59.49,1122.16,1
Alexa,47.29,891.97,485.44,0
HomePod,56.79,738.29,4916.1,1
Alexa,43.7,607.55,3583.54,0
Alexa,59.61,92.46,3546.23,1
HomePod,57.81,522.37,3883.17,1
HomePod,18.05,195.61,7393.61,0
HomePod,39.45,30.85,272.97,1
Alexa,28.98,772.21,3096.26,0
Alexa,20.37,615.11,918.97,0
Alexa,48.57,112.41,6997.02,0
Alexa,35.34,74.79,7674.6,1
HomePod,56.19,77.9,3478.12,0
Alexa,64.73,728.15,1733.29,1
Alexa,14.04,897.28,3702.58,0
HomePod,11.09,7.43,6446.93,1
HomePod,16.68,536.56,2616.68,0
HomePod,31.4,105.87,5917.3,1
HomePod,16.65,259.65,896.19,1
HomePod,26.62,223.61,5485.18,0
Alexa,46.09,337.8,108.64,1
HomePod,35.1,855.66,163.68,1
HomePod,85.64,85.45,3029.44,1
Alexa,42.76,544.39,1259.86,1
Alexa,84.46,694.09,5148.16,0
HomePod,78.64,323.12,6044.91,0
HomePod,59.28,318.59,5729.54,1
HomePod,48.89,8.37,2705.59,0
HomePod,48.21,656.29,2798.49,1
HomePod,89.17,192.31,7287.97,0
Alexa,31.07,685.75,6975.56,0
HomePod,17.9,320.54,341.32,0
HomePod,53.27,290.92,7519.69,0
Alexa,87.78,518.14,7681.12,1
HomePod,77.95,65.61,3835.4,1
HomePod,57.6,652.71,7624.36,0
HomePod,76.54,859.34,810.62,1
HomePod,65.42,976.87,1213.71,1
Alexa,41.11,888.2,376.47,1
Alexa,39.21,716.47,6499.57,0
HomePod,39.53,238.81,1070.69,0
Alexa,13.47,721.22,4451.07,0
Alexa,22.4,502.09,4870.73,1
HomePod,27.06,407.42,5610.62,1
HomePod,86.31,747.69,6992.67,1
HomePod,35.69,131.59,893.81,0
Alexa,15.37,47.91,7703.79,0
Alexa,80.79,296.33,2923.33,0
Alexa,67.47,694.34,140.6,1
HomePod,17.34,894.55,3011.7,0
HomePod,22.72,932.19,7501.44,0
Alexa,15.77,448.4,3096.83,0
HomePod,66.39,951.35,5929.97,0
HomePod,12.34,908.79,4652.03,1
Alexa,18.11,755.87,6821.86,0
Alexa,83.76,628.24,7353.09,1
Alexa,87.97,431.58,1215.07,1
Alexa,16.02,943.38,3050.2,1
HomePod,84.29,489.4,5831.45,1
HomePod,52.26,25.4,7387.31,1
Alexa,82.85,185.71,7161.13,0
HomePod,21.43,164.76,3771.19,1
Alexa,79.01,461.65,6077.54,1
HomePod,34.3,50.53,4964.54,0
Alexa,52.37,468.56,7968.66,1
HomePod,15.87,544.21,7488.27,1
HomePod,61.63,285.15,535.09,1
HomePod,72.72,627.29,6815.77,0
Alexa,71.7,184.78,6512.25,1
HomePod,16.69,613.81,578.82,0
Alexa,16.11,807.26,6501.91,0
HomePod,88.53,282.54,5659.62,0
HomePod,80.15,258.42,6240.15,0
HomePod,49.23,317.33,366.11,1
Alexa,75.3,339.5,7509.44,0
Alexa,84.61,987.52,1671.25,0
Alexa,15.12,448.26,688.87,0
HomePod,69.89,418.64,429.44,1
HomePod,38.82,106.44,4691.21,0
HomePod,65.76,470.42,5366.85,1
HomePod,65.74,571.67,2120.53,0
Alexa,72.84,888.39,2686.97,0
HomePod,29.16,208.65,6094.54,1
HomePod,25.24,309.97,3818.1,1
Alexa,20.0,658.73,3892.44,0
Alexa,60.51,95.46,7133.21,1
Alexa,72.61,843.91,1807.78,1
Alexa,36.77,935.51,7685.84,0
HomePod,63.99,713.01,4165.55,1
Alexa,28.31,137.78,4209.51,1
HomePod,52.0,800.87,3252.49,0
HomePod,25.07,425.94,853.46,0
HomePod,58.56,899.11,6431.37,1
Alexa,48.81,706.3,948.3,0
HomePod,73.43,823.33,6794.39,0
Alexa,44.06,306.53,5818.9,1
Alexa,15.51,20.24,7138.27,1
HomePod,20.49,734.77,7019.24,1
HomePod,15.92,705.01,1298.29,0
Alexa,71.17,107.33,6630.38,1
Alexa,76.98,712.29,822.02,1
Alexa,10.33,673.67,3344.57,0
Alexa,47.19,291.44,126.9,1
Alexa,67.69,127.28,2751.25,0
HomePod,65.91,807.01,5137.91,1
Alexa,78.02,218.22,4895.85,1
Alexa,67.8,313.1,3254.13,0
HomePod,44.19,685.71,3067.29,1
Alexa,42.06,514.09,2284.0,1
HomePod,19.59,173.44,5935.2,0
HomePod,49.5,285.1,3324.69,0
Alexa,68.61,693.77,7808.18,0
Alexa,11.14,178.64,651.74,0
HomePod,23.08,155.1,4631.4,0
Alexa,52.35,83.75,4446.18,0
Alexa,67.2,827.93,1467.39,1
HomePod,78.95,2.53,736.96,1
Alexa,19.82,874.31,5595.32,1
HomePod,56.17,24.31,4177.12,1
Alexa,57.73,123.4,828.21,0
HomePod,35.09,321.99,7190.86,0
HomePod,18.48,348.77,939.76,1
Alexa,70.04,304.53,1988.52,0
Alexa,19.24,59.72,5399.69,0
Alexa,81.02,843.58,4813.29,1
HomePod,69.81,651.72,3893.19,0
Alexa,17.52,521.09,3619.34,1
Alexa,58.39,780.67,3775.15,0
Alexa,47.31,281.89,5753.79,1
HomePod,22.93,640.65,5008.29,0
HomePod,56.44,805.22,3585.86,0
HomePod,27.87,797.08,4056.08,1
HomePod,41.2,680.61,1335.68,0
HomePod,10.47,931.07,7979.98,1
HomePod,20.74,161.09,6655.93,0
Alexa,19.65,642.2,7446.83,0
Alexa,18.7,914.71,150.53,1
Alexa,63.19,386.71,7682.79,1
HomePod,42.32,213.71,5331.46,0
Alexa,48.25,603.03,6592.42,0
Alexa,58.71,805.69,494.74,1
HomePod,58.49,693.22,1083.22,0
HomePod,88.32,734.22,3355.15,0
HomePod,58.12,592.35,7928.84,1
HomePod,46.09,582.65,5830.54,0
Alexa,68.13,70.24,7498.19,0
Alexa,58.27,387.57,2146.01,1
HomePod,14.01,686.01,245.86,0
HomePod,61.0,363.48,3067.87,1
Alexa,29.05,137.0,5493.3,0
Alexa,88.87,779.2,5311.09,0
HomePod,82.67,916.92,1869.5,1
Alexa,11.09,850.53,7485.1,0
HomePod,48.87,515.69,2948.62,1
Alexa,47.14,103.26,3280.68,0
HomePod,73.45,51.55,3495.61,0
Alexa,52.13,36.01,1377.74,0
Alexa,54.89,18.82,1536.38,1
Alexa,53.82,85.73,5903.29,1
Alexa,11.06,446.9,6632.52,1
Alexa,26.7,162.29,6183.94,0
Alexa,84.69,483.68,640.53,0
HomePod,31.23,302.6,6466.15,0
HomePod,89.45,378.07,5117.98,0
HomePod,88.13,447.42,5977.44,0
HomePod,31.12,42.96,2081.87,1
Alexa,71.18,382.59,4402.29,0
HomePod,20.13,507.03,908.67,1
Alexa,45.97,357.33,5459.39,1
HomePod,77.8,135.97,2977.06,1
Alexa,26.94,469.99,7453.86,0
Alexa,59.44,715.32,1866.72,1
HomePod,32.64,202.45,6552.94,0
HomePod,64.79,541.52,7058.26,0
Alexa,81.09,561.3,5030.81,1
Alexa,64.67,733.19,3543.71,1
Alexa,42.1,318.18,3020.89,1
HomePod,38.58,328.76,6740.5,1
Alexa,87.27,994.08,6962.01,1
Alexa,89.73,404.46,7884.58,0
HomePod,79.63,841.35,4118.0,0
Alexa,86.38,549.64,3046.98,1
HomePod,78.35,249.43,5262.62,0
HomePod,84.11,669.95,1130.82,1
HomePod,56.9,386.82,6629.31,1
HomePod,36.79,394.69,7520.46,1
HomePod,78.8,69.3,449.88,0
Alexa,23.97,33.57,1337.65,1
Alexa,17.97,352.85,2369.07,0
HomePod,34.9,169.17,4335.96,1
Alexa,33.06,773.02,7292.17,1
HomePod,55.63,68.08,674.33,0
Alexa,53.97,10.6,6514.53,0
HomePod,87.38,773.08,1036.57,0
Alexa,22.55,738.82,6829.37,1
HomePod,34.51,563.95,2584.75,0
Alexa,36.47,508.66,7642.61,1
HomePod,20.7,464.66,7462.39,1
Alexa,86.11,368.76,4712.17,0
Alexa,17.9,816.95,3624.04,0
HomePod,25.11,318.75,6885.33,0
Alexa,11.29,415.57,2343.54,0
HomePod,13.57,267.61,6711.56,1
Alexa,45.99,405.1,2779.24,1
HomePod,56.87,653.76,1249.96,0
Alexa,87.97,924.35,3107.81,1
HomePod,73.96,621.42,6423.56,0
HomePod,14.36,266.45,7438.89,0
Alexa,59.2,396.36,4140.85,0
Alexa,14.69,592.77,5984.89,0
Alexa,28.08,497.44,842.83,0
HomePod,79.85,490.75,7890.72,0
HomePod,24.14,700.25,4049.23,1
HomePod,49.19,630.09,4257.69,0
HomePod,47.9,980.59,3044.5,0
HomePod,78.6,347.53,4018.45,1
Alexa,69.85,716.37,6936.18,0
Alexa,76.99,859.5,3282.51,0
Alexa,75.94,951.78,7807.35,0
Alexa,86.78,524.87,3957.32,1
Alexa,55.12,613.01,3482.86,0
Alexa,86.83,911.23,1502.25,1
HomePod,71.99,686.5,4145.04,1
HomePod,77.76,861.73,2472.32,0
Alexa,36.99,341.76,2047.28,0
HomePod,33.82,190.27,2700.53,1
HomePod,75.02,352.28,4336.91,0
Alexa,54.03,465.07,517.33,1
Alexa,37.41,620.84,3731.24,0
HomePod,48.27,227.92,7045.02,1
HomePod,51.77,113.79,4079.62,0
HomePod,14.56,682.63,3085.76,1
Alexa,63.82,114.68,2554.06,0
Alexa,76.99,805.42,4099.98,1
HomePod,16.58,936.77,565.08,0
Alexa,80.09,764.37,5011.07,1
HomePod,34.13,169.86,670.62,0
Alexa,68.14,802.69,7750.73,0
HomePod,70.34,998.76,6916.78,0
Alexa,28.39,214.42,589.26,1
HomePod,12.87,637.16,2652.85,0
Alexa,33.38,233.63,5049.36,0
Alexa,27.34,665.22,1150.74,0
HomePod,29.82,588.78,2024.36,0
Alexa,73.12,320.36,6464.28,0
Alexa,52.78,931.49,7238.18,1
Alexa,75.39,875.05,7958.52,1
Alexa,57.5,467.7,6607.62,1
Alexa,23.52,619.42,7219.28,0
Alexa,56.91,687.36,460.26,0
HomePod,36.98,619.82,840.0,1
Alexa,86.5,356.22,1685.56,1
HomePod,68.72,223.11,1960.11,1
Alexa,78.98,581.0,1316.19,0
Alexa,81.24,788.13,6973.29,0
HomePod,30.74,695.53,1694.24,0
HomePod,68.59,769.63,883.26,0
Alexa,10.18,449.44,6569.07,0
HomePod,70.81,199.79,6189.71,0
HomePod,10.04,201.86,2349.1,1
Alexa,45.33,880.85,6520.18,0
HomePod,39.82,911.42,7924.88,0
